,prefix,total_tokens,total_sequences,min_tokens,max_tokens,language,name,subset,ocr,category,M docs,B words,B chars,#words/doc,#chars/word,B tokens,#tokens/words,#chars/tokens,num_epochs,count,reweighted_count,ratio,new_ratio
0,/lustre/fsn1/projects/rech/fwx/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/AmericanStories_text_document,14312785208,59419794,3,4095,en,AmericanStories,,true,newspaper,59.42,8.902,50.844,150,5.7,14.313,1.61,3.55,1.5,14312785208,21469177812.0,0.044532113091331316,0.03909001723936914
99,/lustre/fsn1/projects/rech/fwx/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/TheStack--python_text_document,10312107592,11956814,4,4096,code,TheStack,python,false,programming,12.962,5.434,64.304,419,11.8,21.683,3.99,2.97,2.0,10312107592,20624215184.0,0.03208459673105717,0.03755155107245887
38,/lustre/fsn1/projects/rech/fwx/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/FineWebEdu--cc-main-2024_text_document,10860059656,11363311,38,4096,en,FineWebEdu--cc-main-2024,,false,web,11.652,9.197,57.223,789,6.2,12.752,1.39,4.49,1.5,10860059656,16290089484.0,0.03378946848928334,0.029660189334521404
79,/lustre/fsn1/projects/rech/fwx/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/TheStack--c#_text_document,6984364423,10296753,4,4096,code,TheStack,c#,false,programming,10.839,3.574,46.286,330,13.0,13.381,3.74,3.46,2.0,6984364423,13968728846.0,0.021730816318144736,0.025433570683690093
113,/lustre/fsn1/projects/rech/fwx/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/Wikipedia--en_text_document,4598841315,6516998,7,4096,en,Wikipedia.en,,false,wiki,6.893,4.708,26.616,683,5.7,7.898,1.68,3.37,3.0,4598841315,13796523945.0,0.01430861419021351,0.02512002851604214
81,/lustre/fsn1/projects/rech/fwx/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/TheStack--c_text_document,6295191639,7708593,2,4096,code,TheStack,c,false,programming,8.626,5.916,57.428,686,9.7,24.092,4.07,2.38,2.0,6295191639,12590383278.0,0.01958655718824446,0.022923947237150254
107,/lustre/fsn1/projects/rech/fwx/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/TheStack--typescript_text_document,5740656021,10356509,3,4096,code,TheStack,typescript,false,programming,10.637,2.617,28.815,246,11.0,9.836,3.76,2.93,2.0,5740656021,11481312042.0,0.017861201676017218,0.02090460517782387
80,/lustre/fsn1/projects/rech/fwx/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/TheStack--c++_text_document,5688103733,5517158,2,4096,code,TheStack,c++,false,programming,6.378,4.584,50.892,719,11.1,18.835,4.11,2.7,2.0,5688103733,11376207466.0,0.017697693008877007,0.020713235963606445
71,/lustre/fsn1/projects/rech/fwx/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/Pile--USPTO_Backgrounds_text_document,4236048242,5028540,3,4096,en,Pile,USPTO_Backgrounds,false,technical,5.139,3.492,22.309,680,6.4,5.105,1.46,4.37,2.5,4236048242,10590120605.0,0.01317983723165499,0.019281967881651468
87,/lustre/fsn1/projects/rech/fwx/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/TheStack--go_text_document,3968281971,4365820,4,4096,code,TheStack,go,false,programming,4.73,2.735,25.738,578,9.4,10.262,3.75,2.51,2.0,3968281971,7936563942.0,0.012346722104939391,0.014450503136674822
112,/lustre/fsn1/projects/rech/fwx/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/Wikipedia--de_text_document,2220639556,2741858,7,4096,de,Wikipedia.de,,false,wiki,2.877,1.709,11.252,594,6.6,3.476,2.03,3.24,3.0,2220639556,6661918668.0,0.006909191356242964,0.012129692057133124
115,/lustre/fsn1/projects/rech/fwx/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/Wikipedia--fr_text_document,1723593901,2512469,7,4096,fr,Wikipedia.fr,,false,wiki,2.648,1.726,9.879,652,5.7,2.94,1.7,3.36,3.0,1723593901,5170781703.0,0.005362707356214586,0.00941470361283738
114,/lustre/fsn1/projects/rech/fwx/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/Wikipedia--es_text_document,1345179155,1854808,9,4096,es,Wikipedia.es,,false,wiki,1.947,1.245,7.161,639,5.8,2.124,1.71,3.37,3.0,1345179155,4035537465.0,0.00418532587389622,0.007347707045809531
