,prefix,total_tokens,total_sequences,min_tokens,max_tokens,language,name,subset,ocr,category,M docs,B words,B chars,#words/doc,#chars/word,B tokens,#tokens/words,#chars/tokens,num_epochs,count,reweighted_count,ratio,new_ratio
53,lucie_tokens_65k_splitted/length-4096-inf/OtherFr--LEGI_text_document,30002009,2644,4097,391043,fr,OtherFr,LEGI,false,legi_written,0.621,0.088,0.563,141,6.4,0.145,1.65,3.88,2.0,30002009,60004018.0,6.54784405645356e-05,7.469448670523647e-05
48,lucie_tokens_65k_splitted/length-4096-inf/OpenData--dole_opendata_text_document,19015273,857,4120,185218,fr,OpenData,,false,legi_written,1.169,0.755,4.638,646,6.1,1.209,1.6,3.84,2.0,19015273,38030546.0,4.150023496589573e-05,4.734136491642749e-05
2,lucie_tokens_65k_splitted/length-4096-inf/Claire--en--BNC_text_document,16497992,707,4132,237233,en,Claire.en,,false,dialogue,0.949,0.818,4.709,861,5.8,1.161,1.42,4.06,2.0,16497992,32995984.0,3.600634839507527e-05,4.1074217533469096e-05
94,lucie_tokens_65k_splitted/length-4096-inf/TheStack--racket_text_document,11671163,708,4100,930383,code,TheStack,racket,false,programming,0.004,0.005,0.038,1141,7.9,0.015,3.18,2.48,2.0,11671163,23342326.0,2.547194598916716e-05,2.905710512713158e-05
11,lucie_tokens_65k_splitted/length-4096-inf/Claire--fr--ESLO_text_document,8518365,424,4124,68492,fr,Claire.fr,,false,dialogue,0.039,0.209,1.314,5321,6.3,0.31,1.48,4.23,2.0,8518365,17036730.0,1.859106356376069e-05,2.120774316289458e-05
104,lucie_tokens_65k_splitted/length-4096-inf/Wikiother--fr--wiktionary_text_document,4663064,794,4098,28119,fr,Wikiother.fr,,false,wiki,0.836,0.576,3.427,690,5.9,0.912,1.58,3.76,3.0,4663064,13989192.0,1.0176990446627278e-05,1.7414092433960012e-05
20,lucie_tokens_65k_splitted/length-4096-inf/Claire--fr--Theatre_text_document,3670438,479,4097,45277,fr,Claire.fr,,false,dialogue,0.039,0.209,1.314,5321,6.3,0.31,1.48,4.23,2.0,3670438,7340876.0,8.010615436746683e-06,9.138104131406492e-06
54,lucie_tokens_65k_splitted/length-4096-inf/OtherFr--amendements_parlement_text_document,2403588,308,4099,36121,fr,OtherFr,amendements_parlement,false,legi_written,0.673,0.045,0.274,67,6.1,0.074,1.63,3.71,2.0,2403588,4807176.0,5.245755175916086e-06,5.984091662357208e-06
56,lucie_tokens_65k_splitted/length-4096-inf/OtherFr--questions_ecrites_parlement_text_document,1955697,237,4117,25023,fr,OtherFr,questions_ecrites_parlement,false,legi_written,0.189,0.108,0.705,572,6.5,0.156,1.44,4.52,2.0,1955697,3911394.0,4.268247162273052e-06,4.8690000581618e-06
17,lucie_tokens_65k_splitted/length-4096-inf/Claire--fr--SUMM_text_document,1804403,261,4117,10804,fr,Claire.fr,,false,dialogue,0.039,0.209,1.314,5321,6.3,0.31,1.48,4.23,2.0,1804403,3608806.0,3.9380527680652895e-06,4.492331026711871e-06
4,lucie_tokens_65k_splitted/length-4096-inf/Claire--en--ICSI_text_document,1801604,74,9522,52892,en,Claire.en,,false,dialogue,0.949,0.818,4.709,861,5.8,1.161,1.42,4.06,2.0,1801604,3603208.0,3.931944038641865e-06,4.485362497761428e-06
1,lucie_tokens_65k_splitted/length-4096-inf/Claire--en--AMI_text_document,1651017,133,4175,28536,en,Claire.en,,false,dialogue,0.949,0.818,4.709,861,5.8,1.161,1.42,4.06,2.0,1651017,3302034.0,3.6032926496868215e-06,4.1104536485079846e-06
15,lucie_tokens_65k_splitted/length-4096-inf/Claire--fr--ORFEO_text_document,1638117,168,4122,62064,fr,Claire.fr,,false,dialogue,0.039,0.209,1.314,5321,6.3,0.31,1.48,4.23,2.0,1638117,3276234.0,3.575138805613163e-06,4.078337169958247e-06
8,lucie_tokens_65k_splitted/length-4096-inf/Claire--fr--CFPP_text_document,1133429,40,5063,67073,fr,Claire.fr,,false,dialogue,0.039,0.209,1.314,5321,6.3,0.31,1.48,4.23,2.0,1133429,2266858.0,2.4736731267103153e-06,2.8218409431124917e-06
3,lucie_tokens_65k_splitted/length-4096-inf/Claire--en--DialogStudio_text_document,1054023,143,4131,30351,en,Claire.en,,false,dialogue,0.949,0.818,4.709,861,5.8,1.161,1.42,4.06,2.0,1054023,2108046.0,2.3003720303914817e-06,2.624147834917104e-06
51,lucie_tokens_65k_splitted/length-4096-inf/OpenData--sarde_opendata_text_document,1049597,180,4104,13176,fr,OpenData,,false,legi_written,1.169,0.755,4.638,646,6.1,1.209,1.6,3.84,2.0,1049597,2099194.0,2.290712424665124e-06,2.6131286462301934e-06
19,lucie_tokens_65k_splitted/length-4096-inf/Claire--fr--TCOF_text_document,1021988,138,4100,27043,fr,Claire.fr,,false,dialogue,0.039,0.209,1.314,5321,6.3,0.31,1.48,4.23,2.0,1021988,2043976.0,2.2304566509418953e-06,2.544391913185254e-06
14,lucie_tokens_65k_splitted/length-4096-inf/Claire--fr--OFROM_text_document,898649,118,4130,11894,fr,Claire.fr,,false,dialogue,0.039,0.209,1.314,5321,6.3,0.31,1.48,4.23,2.0,898649,1797298.0,1.9612731645697243e-06,2.2373210335072577e-06
6,lucie_tokens_65k_splitted/length-4096-inf/Claire--en--OANC_text_document,699068,149,4097,9081,en,Claire.en,,false,dialogue,0.949,0.818,4.709,861,5.8,1.161,1.42,4.06,2.0,699068,1398136.0,1.5256939123166309e-06,1.7404342966518092e-06
55,lucie_tokens_65k_splitted/length-4096-inf/OtherFr--interventions_parlement_text_document,454342,90,4097,12662,fr,OtherFr,interventions_parlement,false,legi_spoken,1.832,0.104,0.654,57,6.3,0.157,1.5,4.18,2.0,454342,908684.0,9.915871181483958e-07,1.131152333119777e-06
0,lucie_tokens_65k_splitted/length-4096-inf/AmericanStories_text_document,593523,122,4101,7713,en,AmericanStories,,true,newspaper,59.42,8.902,50.844,150,5.7,14.313,1.61,3.55,1.5,593523,890284.5,1.2953452710178463e-06,1.1082481801323388e-06
61,lucie_tokens_65k_splitted/length-4096-inf/Pile--NIH_ExPorter_text_document,343735,57,4101,14665,en,Pile,NIH_ExPorter,false,technical,0.914,0.288,1.979,315,6.9,0.431,1.5,4.59,2.5,343735,859337.5,7.50190821136366e-07,1.0697245885944028e-06
12,lucie_tokens_65k_splitted/length-4096-inf/Claire--fr--FREDSum_text_document,369161,61,4318,10330,fr,Claire.fr,,false,dialogue,0.039,0.209,1.314,5321,6.3,0.31,1.48,4.23,2.0,369161,738322.0,8.056822660524009e-07,9.190814990620061e-07
21,lucie_tokens_65k_splitted/length-4096-inf/CroissantAligned--train-augmented_text_document,206854,37,4175,12794,fr-en,CroissantAligned,,false,aligned,408.029,16.911,107.003,41,6.3,25.351,1.5,4.22,3.0,206854,620562.0,4.514523458924516e-07,7.724909365032014e-07
10,lucie_tokens_65k_splitted/length-4096-inf/Claire--fr--CLAPI_text_document,302766,14,5888,47001,fr,Claire.fr,,false,dialogue,0.039,0.209,1.314,5321,6.3,0.31,1.48,4.23,2.0,302766,605532.0,6.607772678143716e-07,7.53781220510854e-07
