language ,name                 ,subset      ,ocr   ,category     ,  M docs, B words, B chars, #words/doc,#chars/word, B tokens,#tokens/words,#chars/tokens
code     ,TheStack             ,lua         ,false ,programming  ,   0.559,   0.318,   3.279,        570,       10.3,    1.367,        4.29,        2.40
code     ,TheStack             ,dart        ,false ,programming  ,   0.933,   0.308,   3.864,        331,       12.5,    1.242,        4.03,        3.11
code     ,TheStack             ,haskell     ,false ,programming  ,   0.545,   0.307,   2.364,        563,        7.7,    0.807,        2.63,        2.93
code     ,TheStack             ,perl        ,false ,programming  ,   0.392,   0.297,   2.634,        757,        8.9,    1.149,        3.87,        2.29
code     ,TheStack             ,assembly    ,false ,programming  ,   0.248,   0.209,   1.575,        840,        7.5,    0.867,        4.15,        1.82
code     ,TheStack             ,fortran     ,false ,programming  ,   0.165,   0.192,   1.843,       1158,        9.6,    0.780,        4.07,        2.36
code     ,TheStack             ,julia       ,false ,programming  ,   0.299,   0.152,   1.539,        510,       10.1,    0.660,        4.34,        2.33
code     ,TheStack             ,ocaml       ,false ,programming  ,   0.160,   0.130,   1.107,        812,        8.5,    0.430,        3.31,        2.58
code     ,TheStack             ,mathematica ,false ,programming  ,   0.027,   0.120,   1.720,       4454,       14.4,    1.117,        9.32,        1.54
code     ,TheStack             ,elixir      ,false ,programming  ,   0.282,   0.073,   0.737,        259,       10.1,    0.258,        3.53,        2.85
code     ,TheStack             ,erlang      ,false ,programming  ,   0.099,   0.066,   0.726,        661,       11.0,    0.260,        3.96,        2.79
code     ,TheStack             ,clojure     ,false ,programming  ,   0.126,   0.045,   0.492,        355,       11.0,    0.179,        3.98,        2.75
code     ,TheStack             ,r           ,false ,programming  ,   0.039,   0.028,   0.305,        711,       10.9,    0.158,        5.67,        1.93
code     ,TheStack             ,matlab      ,false ,programming  ,   0.001,   0.009,   0.037,       8940,        4.3,    0.043,        4.94,        0.87
code     ,TheStack             ,racket      ,false ,programming  ,   0.004,   0.005,   0.038,       1141,        7.9,    0.015,        3.18,        2.48
