,prefix,total_tokens,total_sequences,min_tokens,max_tokens,language,name,subset,ocr,category,M docs,B words,B chars,#words/doc,#chars/word,B tokens,#tokens/words,#chars/tokens,num_epochs,count,reweighted_count,ratio,new_ratio
4,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/Claire--en--DialogStudio_text_document,116688475,473234,9,4089,en,Claire.en,,false,dialogue,0.949,0.818,4.709,861,5.8,1.161,1.42,4.06,2.0,116688475,233376950.0,0.00036297260222202456,0.00042485014614577934
60,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/OtherFr--LEGI_text_document,115124760,618855,13,4095,fr,OtherFr,LEGI,false,legi_written,0.621,0.088,0.563,141,6.4,0.145,1.65,3.88,2.0,115124760,230249520.0,0.000358108491154641,0.0004191568285642414
82,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/TheStack--clojure_text_document,94851470,119203,6,4096,code,TheStack,clojure,false,programming,0.126,0.045,0.492,355,11.0,0.179,3.98,2.75,2.0,94851470,189702940.0,0.00029504614650662197,0.00034534396727390606
49,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/MathPile--commoncrawl_text_document,59374270,31150,61,4096,en,MathPile,,false,math,0.737,3.408,27.29,4626,8.0,9.637,2.83,2.83,3.0,59374270,178122810.0,0.00018469033284506536,0.0003242629653888136
85,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/TheStack--erlang_text_document,87351164,86330,4,4096,code,TheStack,erlang,false,programming,0.099,0.066,0.726,661,11.0,0.26,3.96,2.79,2.0,87351164,174702328.0,0.00027171560262659046,0.00031803616245223824
40,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/GallicaPress--html_text_document,156984264,70792,17,4096,fr,GallicaPress,,true,newspaper,3.205,67.496,408.882,21061,6.1,121.606,1.8,3.36,1.0,156984264,156984264.0,0.0004883171779560002,0.00028578138287859025
39,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/GallicaMonographies_text_document,73662193,32969,8,4096,fr,GallicaMonographies,,true,book,0.278,15.106,90.456,54392,6.0,25.169,1.67,3.59,2.0,73662193,147324386.0,0.00022913452145630495,0.0002681960961566136
61,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/OtherFr--amendements_parlement_text_document,71355898,672690,2,4079,fr,OtherFr,amendements_parlement,false,legi_written,0.673,0.045,0.274,67,6.1,0.074,1.63,3.71,2.0,71355898,142711796.0,0.0002219605319287047,0.00025979912492354813
109,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/ValidatedYouTube--fr_text_document,44620617,31391,12,4096,fr,ValidatedYouTube.fr,,false,dialogue,0.038,0.145,1.003,3862,6.9,0.336,2.32,2.98,2.0,44620617,89241234.0,0.00013879743878084195,0.00016245885168663697
53,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/MathPile--wikipedia_text_document,27092240,18076,55,4096,en,MathPile,,false,math,0.737,3.408,27.29,4626,8.0,9.637,2.83,2.83,3.0,27092240,81276720.0,8.427345419351502e-05,0.0001479598836571032
