,prefix,total_tokens,total_sequences,min_tokens,max_tokens,language,name,subset,ocr,category,M docs,B words,B chars,#words/doc,#chars/word,B tokens,#tokens/words,#chars/tokens,num_epochs,count,reweighted_count,ratio,new_ratio
31,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/FineWebEdu--cc-main-2024_text_document,1892252559,288285,4097,134969,en,FineWebEdu--cc-main-2024,,false,web,11.652,9.197,57.223,789,6.2,12.752,1.39,4.49,1.5,1892252559,2838378838.5,0.004126060562348523,0.0035287463077277423
30,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/Eurovoc--it_text_document,1280381898,53624,4097,24252137,it,Eurovoc.it,,true,legi_written,0.245,0.731,4.867,2976,6.7,1.527,2.09,3.19,2.0,1280381898,2560763796.0,0.002791875338709873,0.0031836080749789164
27,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/Eurovoc--de_text_document,1253921967,53884,4097,24458703,de,Eurovoc.de,,true,legi_written,0.247,0.678,4.915,2742,7.2,1.497,2.21,3.28,2.0,1253921967,2507843934.0,0.0027341794052245147,0.0031178167277827653
99,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/TheStack--tex_text_document,1187047230,75601,4097,1068523,code,TheStack,tex,false,programming,0.398,0.394,3.805,989,9.7,1.507,3.83,2.53,2.0,1187047230,2374094460.0,0.0025883589048686056,0.0029515359071480367
107,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/Wikipedia--es_text_document,778981412,92434,4097,501966,es,Wikipedia.es,,false,wiki,1.947,1.245,7.161,639,5.8,2.124,1.71,3.37,3.0,778981412,2336944236.0,0.0016985705568575565,0.002905349783578803
28,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/Eurovoc--en_text_document,2330268391,68474,4097,18100344,en,Eurovoc.en,,true,legi_written,0.272,1.523,9.468,5594,6.2,2.571,1.69,3.68,1.0,2330268391,2330268391.0,0.005081154976941135,0.0028970501996489983
29,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/Eurovoc--es_text_document,1164975879,52166,4097,23409924,es,Eurovoc.es,,true,legi_written,0.246,0.757,4.684,3084,6.2,1.411,1.86,3.32,2.0,1164975879,2329951758.0,0.0025402322790195812,0.002896656553277873
109,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/Wikipedia--it_text_document,768017648,87808,4097,179820,it,Wikipedia.it,,false,wiki,1.87,1.06,6.161,567,5.8,1.959,1.85,3.14,3.0,768017648,2304052944.0,0.0016746640471053897,0.0028644584749109537
87,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/TheStack--mathematica_text_document,1108552667,20007,4097,1039008,code,TheStack,mathematica,false,programming,0.027,0.12,1.72,4454,14.4,1.117,9.32,1.54,2.0,1108552667,2217105334.0,0.002417201350232115,0.0027563629474247797
64,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/Pile--USPTO_Backgrounds_text_document,868991776,110738,4097,344672,en,Pile,USPTO_Backgrounds,false,technical,5.139,3.492,22.309,680,6.4,5.105,1.46,4.37,2.5,868991776,2172479440.0,0.0018948383390500684,0.002700882876707803
103,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/Wikiother--fr--wikisource_text_document,695966610,40853,4097,666191,fr,Wikiother.fr,,false,wiki,0.836,0.576,3.427,690,5.9,0.912,1.58,3.76,3.0,695966610,2087899830.0,0.0015175566118668386,0.002595731308337783
63,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/Pile--StackExchange_text_document,759457950,117016,4097,117522,en,Pile,StackExchange,false,forum,15.269,4.534,33.609,297,7.4,10.275,2.27,3.27,2.5,759457950,1898644875.0,0.0016559996081670283,0.00236044463179662
42,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/MathPile--commoncrawl_text_document,631309402,43242,4097,354113,en,MathPile,,false,math,0.737,3.408,27.29,4626,8.0,9.637,2.83,2.83,3.0,631309402,1893928206.0,0.0013765714380159703,0.002354580746365696
