language,name,subset,#pages,#words,#characters,#words/page,#chars/page,#chars/word
en,AmericanStories,1855,99390,17624579,101416607,177,1020,5.8
en,AmericanStories,1959,129452,15924516,93900679,123,725,5.9
en,AmericanStories,1844,61373,12498749,70658820,204,1151,5.7
en,AmericanStories,1846,70331,12289774,70938054,175,1009,5.8
en,AmericanStories,1958,98688,12155625,71409813,123,724,5.9
en,AmericanStories,1956,98035,12049241,70871481,123,723,5.9
en,AmericanStories,1957,93543,11896569,70128481,127,750,5.9
en,AmericanStories,1852,51172,10290630,59576568,201,1164,5.8
en,AmericanStories,1849,42711,8531336,47836556,200,1120,5.6
en,AmericanStories,1853,48130,8222013,47180270,171,980,5.7
en,AmericanStories,1843,41657,7895691,44704381,190,1073,5.7
en,AmericanStories,1848,32531,6982595,39931798,215,1227,5.7
en,AmericanStories,1841,30019,6067701,34765539,202,1158,5.7
en,AmericanStories,1847,24354,5134912,29298593,211,1203,5.7
en,AmericanStories,1842,21290,4058077,23223119,191,1091,5.7
en,AmericanStories,1837,13609,3410211,19209381,251,1412,5.6
en,AmericanStories,1831,9699,2663791,15411574,275,1589,5.8
en,AmericanStories,1850,10855,2633916,15064670,243,1388,5.7
en,AmericanStories,1838,8492,2187141,12551131,258,1478,5.7
en,AmericanStories,1840,8052,2008800,11541863,249,1433,5.7
en,AmericanStories,1839,8938,1978482,11312443,221,1266,5.7
en,AmericanStories,1827,7213,1834607,10507740,254,1457,5.7
en,AmericanStories,1836,7375,1648111,9457873,223,1282,5.7
en,AmericanStories,1826,7079,1625370,9305656,230,1315,5.7
en,AmericanStories,1828,6350,1623754,9315789,256,1467,5.7
en,AmericanStories,1832,6565,1580498,9078877,241,1383,5.7
en,AmericanStories,1835,6168,1434631,8226189,233,1334,5.7
en,AmericanStories,1830,4232,1342346,7734971,317,1828,5.8
en,AmericanStories,1834,4632,1134440,6459720,245,1395,5.7
en,AmericanStories,1833,4108,1064272,6081360,259,1480,5.7
en,AmericanStories,1825,4005,998158,5687723,249,1420,5.7
en,AmericanStories,1824,3110,831612,4696477,267,1510,5.6
en,AmericanStories,1829,2296,644098,3703117,281,1613,5.7
en,AmericanStories,1819,1997,383637,2191541,192,1097,5.7
en,AmericanStories,1805,2303,374656,2140079,163,929,5.7
en,AmericanStories,1823,1113,332624,1878438,299,1688,5.6
en,AmericanStories,1806,1860,306668,1757359,165,945,5.7
en,AmericanStories,1802,1158,227661,1295102,197,1118,5.7
en,AmericanStories,1810,982,203221,1177714,207,1199,5.8
en,AmericanStories,1818,1108,191059,1097760,172,991,5.7
en,AmericanStories,1799,623,153873,864575,247,1388,5.6
en,AmericanStories,1803,654,123238,696998,188,1066,5.7
en,AmericanStories,1820,433,95655,549631,221,1269,5.7
en,AmericanStories,1816,409,75793,430867,185,1053,5.7
en,AmericanStories,1817,394,67092,384226,170,975,5.7
en,AmericanStories,1809,422,63442,364439,150,864,5.7
en,AmericanStories,1814,379,55883,318159,147,839,5.7
en,AmericanStories,1821,270,53179,307588,197,1139,5.8
en,AmericanStories,1813,242,45587,252757,188,1044,5.5
en,AmericanStories,1807,315,45332,260641,144,827,5.7
en,AmericanStories,1822,264,42806,248840,162,943,5.8
en,AmericanStories,1815,160,28593,160396,179,1002,5.6
en,AmericanStories,1804,103,18739,105726,182,1026,5.6
en,AmericanStories,1811,110,17290,100663,157,915,5.8
en,AmericanStories,1801,93,14221,81216,153,873,5.7
en,AmericanStories,1808,45,12111,68615,269,1525,5.7
en,AmericanStories,1812,67,11492,64855,172,968,5.6
en,AmericanStories,1798,73,10488,61374,144,841,5.9
en,AmericanStories,1800,45,5395,31339,120,696,5.8
en,AmericanStories,1774,12,3587,20252,299,1688,5.6
en,WikipediaEn,,6838504,4702263658,26775679226,688,3915,5.7
en,ClaireEn,MediaSum,458293,738243202,4225521390,1611,9220,5.7
en,ClaireEn,DialogStudio,473377,61067704,378248526,129,799,6.2
en,ClaireEn,BNC,908,10678227,59866612,11760,65932,5.6
en,ClaireEn,OANC,3533,4826820,26924637,1366,7621,5.6
en,ClaireEn,DailyDialog,13118,1267652,7481945,97,570,5.9
en,ClaireEn,ICSI,75,888041,5524882,11841,73665,6.2
en,ClaireEn,AMI,139,798418,5055227,5744,36369,6.3
en,ClaireEn,ETELECSC,13,56997,303690,4384,23361,5.3
en,EuroparlEn,,11109,56334280,339370705,5071,30549,6.0
de,WikipediaDe,,2909979,1728547850,11452006744,594,3935,6.6
de,EuroparlDe,,10151,45108933,326931605,4444,32207,7.2
es,EuroparlEs,,10296,52369273,324518110,5086,31519,6.2
