language ,name                ,subset       , M pages, B words, B chars,#words/page,#chars/word, B tokens,#tokens/words,#chars/tokens
en       ,AmericanStories     ,1867         ,   0.117,   0.026,   0.151,        225,        5.7,         ,            ,            
en       ,AmericanStories     ,1871         ,   0.111,   0.026,   0.147,        231,        5.7,         ,            ,            
en       ,AmericanStories     ,1952         ,   0.187,   0.025,   0.147,        134,        5.9,         ,            ,            
en       ,AmericanStories     ,1963         ,   0.179,   0.025,   0.143,        137,        5.8,         ,            ,            
en       ,AmericanStories     ,1953         ,   0.176,   0.024,   0.144,        139,        5.9,         ,            ,            
en       ,AmericanStories     ,1882         ,   0.164,   0.024,   0.138,        148,        5.7,         ,            ,            
en       ,AmericanStories     ,1885         ,   0.160,   0.024,   0.135,        149,        5.7,         ,            ,            
en       ,AmericanStories     ,1859         ,   0.134,   0.024,   0.135,        176,        5.7,         ,            ,            
en       ,AmericanStories     ,1856         ,   0.120,   0.024,   0.136,        197,        5.7,         ,            ,            
en       ,AmericanStories     ,1884         ,   0.158,   0.023,   0.131,        146,        5.7,         ,            ,            
en       ,AmericanStories     ,1860         ,   0.122,   0.021,   0.123,        175,        5.7,         ,            ,            
en       ,AmericanStories     ,1866         ,   0.097,   0.021,   0.122,        220,        5.7,         ,            ,            
en       ,AmericanStories     ,1875         ,   0.128,   0.019,   0.108,        148,        5.7,         ,            ,            
en       ,AmericanStories     ,1961         ,   0.160,   0.019,   0.108,        116,        5.8,         ,            ,            
en       ,AmericanStories     ,1845         ,   0.067,   0.016,   0.095,        246,        5.7,         ,            ,            
en       ,AmericanStories     ,1877         ,   0.107,   0.016,   0.091,        151,        5.7,         ,            ,            
en       ,AmericanStories     ,1855         ,   0.084,   0.016,   0.091,        189,        5.7,         ,            ,            
en       ,AmericanStories     ,1959         ,   0.102,   0.014,   0.082,        138,        5.8,         ,            ,            
en       ,AmericanStories     ,1872         ,   0.084,   0.013,   0.075,        157,        5.7,         ,            ,            
en       ,AmericanStories     ,1869         ,   0.072,   0.012,   0.071,        172,        5.7,         ,            ,            
en       ,AmericanStories     ,1858         ,   0.074,   0.011,   0.065,        154,        5.7,         ,            ,            
